,Time,Tibialis antelior,Gastrocnemius medialis
610,2.508,0.031,0.011
611,2.509,0.024,0.012
612,2.51,0.011,0.011
613,2.511,0.005,0.009
614,2.512,-0.001,0.006
615,2.513,-0.005,0.003
616,2.514,-0.009,0.001
617,2.515,0.0,0.005
618,2.516,-0.001,0.001
619,2.517,-0.004,-0.004
620,2.518,-0.049,-0.036
621,2.519,-0.098,-0.066
622,2.52,-0.046,-0.024
623,2.521,0.023,0.016
624,2.522,0.034,0.018
625,2.523,0.033,0.012
626,2.524,0.042,0.015
627,2.525,0.02,0.008
628,2.526,0.024,0.012
629,2.527,0.043,0.011
630,2.528,0.051,0.011
631,2.529,0.046,0.012
632,2.53,0.033,0.01
633,2.531,0.04,0.01
634,2.532,0.031,0.007
635,2.533,0.012,0.001
636,2.534,-0.017,-0.003
637,2.535,-0.007,0.001
638,2.536,-0.002,-0.003
639,2.537,-0.023,-0.005
640,2.538,-0.081,-0.042
641,2.539,-0.124,-0.068
642,2.54,-0.055,-0.026
643,2.541,0.0,0.015
644,2.542,-0.004,0.018
645,2.543,0.0,0.012
646,2.544,0.016,0.02
647,2.545,0.0,0.014
648,2.546,0.006,0.018
649,2.547,0.002,0.016
650,2.548,0.02,0.014
651,2.549,0.025,0.014
652,2.55,0.029,0.012
653,2.551,0.022,0.011
654,2.552,0.018,0.006
655,2.553,0.019,0.0
656,2.554,0.016,-0.003
657,2.555,0.017,0.0
658,2.556,0.014,-0.003
659,2.557,0.002,-0.007
660,2.558,-0.055,-0.045
661,2.559,-0.098,-0.065
662,2.56,-0.042,-0.025
663,2.561,0.025,0.016
664,2.562,0.027,0.017
665,2.563,0.018,0.013
666,2.564,0.032,0.018
667,2.565,0.024,0.01
668,2.566,0.037,0.014
669,2.567,0.041,0.013
670,2.568,0.039,0.014
671,2.569,0.035,0.011
672,2.57,0.025,0.012
673,2.571,0.021,0.005
674,2.572,0.011,0.004
675,2.573,0.006,0.003
676,2.574,0.0,-0.003
677,2.575,0.004,0.0
678,2.576,0.002,-0.002
679,2.577,0.0,-0.006
680,2.578,-0.051,-0.04
681,2.579,-0.098,-0.065
682,2.58,-0.036,-0.023
683,2.581,0.034,0.017
684,2.582,0.041,0.018
685,2.583,0.034,0.01
